purpose_antes,config_antes,fold_antes,row_excel,date_antes,group_antes,tile_antes,bairro_antes,area_antes,actual_antes,predicted_antes,k_antes,effective_antes,floor_antes,n_train_antes,discount_antes,error_antes,purpose_depois,config_depois,fold_depois,date_depois,group_depois,tile_depois,bairro_depois,area_depois,actual_depois,predicted_depois,k_depois,effective_depois,floor_depois,n_train_depois,discount_depois,error_depois
TERRENO,baseline,teste_reservado,166070,2026-09-10,331406,-3342|-4932,azenha,1441.0,1367342.23,3208425.2141441656,12,11.610009058167597,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-10,331406,-3342|-4932,azenha,1441.0,1367342.23,3208425.2141441656,12,11.610009058167597,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166071,2026-09-10,470767,-3342|-4932,azenha,364.0,345379.49,1160406.098007602,12,11.95016057651699,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-10,470767,-3342|-4932,azenha,364.0,345379.49,1160406.098007602,12,11.95016057651699,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166072,2026-09-10,6792979,-3342|-4932,azenha,1711.0,1512278.27,1013210.887803846,12,11.891854013401698,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-10,6792979,-3342|-4932,azenha,1711.0,1512278.27,1013210.887803846,12,11.891854013401698,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166235,2026-09-11,2023733,-3344|-4934,santa tereza,1932.0,400000.0,1372042.477313138,12,11.985315126766942,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-11,2023733,-3344|-4934,santa tereza,1932.0,400000.0,1372042.477313138,12,11.985315126766942,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166319,2026-09-14,6044565,-3339|-4922,mario quintana,300.0,94000.0,344162.3691856301,12,11.83241506851573,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-14,6044565,-3339|-4922,mario quintana,300.0,94000.0,344162.3691856301,12,11.83241506851573,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166406,2026-09-14,100023011,-3353|-4933,espirito santo,484.0,230300.0,475141.3693063057,12,11.917434792081975,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-14,100023011,-3353|-4933,espirito santo,484.0,230300.0,475141.3693063057,12,11.917434792081975,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166498,2026-09-14,10157344,-3355|-4926,restinga,541.0,250000.0,509069.5570660769,12,11.99763535242718,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-14,10157344,-3355|-4926,restinga,541.0,250000.0,509069.5570660769,12,11.99763535242718,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166799,2026-09-15,10828427,-3355|-4930,hipica,140.0,250000.0,188152.30331188423,12,11.956292445281033,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-15,10828427,-3355|-4930,hipica,140.0,250000.0,188152.30331188423,12,11.956292445281033,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166969,2026-09-15,9589155,-3339|-4923,jar leopoldina,315.0,120000.0,379157.47960518906,12,11.810075418786209,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-15,9589155,-3339|-4923,jar leopoldina,315.0,120000.0,379157.47960518906,12,11.810075418786209,200.0,97,0.0,
TERRENO,baseline,teste_reservado,167060,2026-09-15,9589163,-3339|-4923,jar leopoldina,300.0,120000.0,343717.1307818694,12,11.79474939004992,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-15,9589163,-3339|-4923,jar leopoldina,300.0,120000.0,343717.1307818694,12,11.79474939004992,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166801,2026-09-16,2343606,-3335|-4924,sarandi,961.0,317000.0,982487.7675049946,12,11.98854341381178,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-16,2343606,-3335|-4924,sarandi,961.0,317000.0,982487.7675049946,12,11.98854341381178,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166834,2026-09-17,100131331,-3347|-4924,lomba pinheiro,220.59,60000.0,259059.09684133544,12,11.938112830290844,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-17,100131331,-3347|-4924,lomba pinheiro,220.59,60000.0,259059.09684133544,12,11.938112830290844,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166908,2026-09-17,1936360,-3345|-4935,cristal,426.0,400000.0,519032.906378744,12,11.899310629927966,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-17,1936360,-3345|-4935,cristal,426.0,400000.0,519032.906378744,12,11.899310629927966,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166939,2026-09-17,9955712,-3337|-4922,parque sta fe,415.0,300000.0,507674.8731279526,12,11.796257640262588,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-17,9955712,-3337|-4922,parque sta fe,415.0,300000.0,507674.8731279526,12,11.796257640262588,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166970,2026-09-17,9609806,-3339|-4923,mario quintana,300.0,100000.0,321326.0158292984,12,11.802001364388715,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-17,9609806,-3339|-4923,mario quintana,300.0,100000.0,321326.0158292984,12,11.802001364388715,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166981,2026-09-17,1403834,-3342|-4933,azenha,337.08,727863.0,1174238.6987543593,12,11.93085703356002,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-17,1403834,-3342|-4933,azenha,337.08,727863.0,1174238.6987543593,12,11.93085703356002,200.0,97,0.0,
TERRENO,baseline,teste_reservado,167061,2026-09-17,100093262,-3355|-4931,aberta dos morr,149.31,111460.76,233434.64396421448,12,11.964616663805849,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-17,100093262,-3355|-4931,aberta dos morr,149.31,111460.76,233434.64396421448,12,11.964616663805849,200.0,97,0.0,
TERRENO,baseline,teste_reservado,167416,2026-09-17,9604472,-3339|-4923,mario quintana,300.0,100000.0,321351.76662349334,12,11.803941553370503,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-17,9604472,-3339|-4923,mario quintana,300.0,100000.0,321351.76662349334,12,11.803941553370503,200.0,97,0.0,
TERRENO,baseline,teste_reservado,167162,2026-09-18,5443091,-3337|-4922,parque sta fe,358.0,250000.0,433327.1759788194,12,11.73294145663163,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-18,5443091,-3337|-4922,parque sta fe,358.0,250000.0,433327.1759788194,12,11.73294145663163,200.0,97,0.0,
TERRENO,baseline,teste_reservado,167207,2026-09-21,9748725,-3354|-4928,hipica,125.0,14500.0,213939.5662667141,12,11.946099775306498,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-21,9748725,-3354|-4928,hipica,125.0,14500.0,213939.5662667141,12,11.946099775306498,200.0,97,0.0,
TERRENO,baseline,teste_reservado,167452,2026-09-21,100100423,-3339|-4923,mario quintana,300.0,170000.0,321240.7180572184,12,11.80136768998799,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-21,100100423,-3339|-4923,mario quintana,300.0,170000.0,321240.7180572184,12,11.80136768998799,200.0,97,0.0,
TERRENO,baseline,teste_reservado,167339,2026-09-22,11000406,-3356|-4929,ponta grossa,150.0,60000.0,256249.69490300468,12,11.946335591775618,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-22,11000406,-3356|-4929,ponta grossa,150.0,60000.0,256249.69490300468,12,11.946335591775618,200.0,97,0.0,
TERRENO,baseline,teste_reservado,167422,2026-09-22,11181338,-3354|-4930,hipica,329.0,220900.0,447425.47680934,12,11.935496603515029,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-22,11181338,-3354|-4930,hipica,329.0,220900.0,447425.47680934,12,11.935496603515029,200.0,97,0.0,
