_row_excel,siat_finalidade_descricao,siat_area_terreno,crawler_area_terreno,__area_total_lote_efetiva,__regra_area_lote
66123,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,204.88,204.88,área da unidade negociada em condomínio
66858,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,30761.63,154.0,154.0,área da unidade negociada em condomínio
66859,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,30761.63,154.0,154.0,área da unidade negociada em condomínio
66863,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,218.54,218.54,área da unidade negociada em condomínio
66865,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,204.88,204.88,área da unidade negociada em condomínio
66868,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,204.88,204.88,área da unidade negociada em condomínio
66869,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,218.54,218.54,área da unidade negociada em condomínio
66871,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,281262.0,885.28,885.28,área da unidade negociada em condomínio
66872,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,281262.0,885.28,885.28,área da unidade negociada em condomínio
66878,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,30761.63,154.0,154.0,área da unidade negociada em condomínio
67091,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,268.53,268.53,área da unidade negociada em condomínio
67368,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,69568.0,500.0,500.0,área da unidade negociada em condomínio
67540,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,69568.0,500.0,500.0,área da unidade negociada em condomínio
67546,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,1000.0,1000.0,área da unidade negociada em condomínio
68983,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,559.1,559.1,área da unidade negociada em condomínio
69537,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,275.98,275.98,área da unidade negociada em condomínio
69566,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,6958.0,202.61,202.61,área da unidade negociada em condomínio
69703,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,206.99,206.99,área da unidade negociada em condomínio
70229,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,6890.0,,,área da unidade em condomínio ausente
70332,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,220.8,220.8,área da unidade negociada em condomínio
71449,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,162.83,162.83,área da unidade negociada em condomínio
71463,TERRENO EM CONDOMINIO HORIZONTAL ABERTO,5069.64,145.18,145.18,área da unidade negociada em condomínio
71642,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,500.0,500.0,área da unidade negociada em condomínio
72086,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.38,232.38,área da unidade negociada em condomínio
72296,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,89985.0,320.0,320.0,área da unidade negociada em condomínio
72556,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,13501.82,448.08,448.08,área da unidade negociada em condomínio
72735,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,1543.18,1543.18,área da unidade negociada em condomínio
72840,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,89985.0,320.0,320.0,área da unidade negociada em condomínio
