finalidade,config,estrato,grupo,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3354|-4934,1,0.06363991796746016,0.06363991796746016,0.06363991796746016,0.9363600820325398,0.0,1.0,0.06575517345756367,26728.765546333278,0.09863276018634551,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3355|-4926,1,0.3423365040923597,0.3423365040923597,0.3423365040923597,0.6576634959076403,0.0,1.0,0.41906188286433166,85584.12602308992,0.6285928242964975,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3355|-4930,1,0.15999332564711055,0.15999332564711055,0.15999332564711055,0.8400066743528894,0.0,1.0,0.1743454415181426,97115.9486677961,0.2615181622772139,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3355|-4931,2,0.06197774820210683,0.06197774820210683,0.09117503591150061,0.9635033903632577,6.432540748895563,1.0037440431863507,0.06441434939650847,24580.889744439948,0.10095386328706825,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3358|-4928,2,1.8109689643725395,1.8109689643725395,1.9280356080370462,2.8109689643725395,5.20579581045989,1.0107580155897942,1.032172396193292,1128202.9138743063,1.5673017911850509,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3359|-4929,1,0.43483374225484694,0.43483374225484694,0.43483374225484694,0.5651662577451531,0.0,1.0,0.5706353296262725,369608.6809166199,0.8559529944394088,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3360|-4930,1,0.37902854933325136,0.37902854933325136,0.37902854933325136,0.6209714506667486,0.0,1.0,0.47647017126689184,234997.70058661583,0.7147052569003378,
CASA / RESIDÊNCIA,baseline,periodo_ou_espaco,teste_espacial,60,0.3169395911962371,0.8428973222069912,1.694385085190774,1.174880046452913,69.57878363017855,1.3568002894244655,0.4795162890906034,522787.0637922937,0.8866108749805977,0.00909525331613695
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,periodo_ou_espaco,teste_espacial,60,0.32566731139453725,0.7598009985552167,1.6904821124381388,1.1104816491337433,67.32634614414357,1.340010994040402,0.47708569701400444,588240.6203523718,0.8441373912665759,0.02880010255463426
COBERTURA,baseline,periodo_ou_espaco,validacao_1,90,0.23009356195944314,0.3534855645353601,0.646865115142336,0.8978245650202388,37.029045242397785,1.2369126788622218,0.3231963270707625,649878.34631481,0.5759684859366845,-0.06968564517494717
COBERTURA,baseline,periodo_ou_espaco,validacao_2,90,0.3007161139903115,0.46957819162059483,1.2113171347519955,1.0225376574852518,45.887086367635696,1.2467829213805952,0.3875195157960064,437823.2564846165,0.6236642356890989,-0.22570012298909983
COBERTURA,baseline,periodo_ou_espaco,validacao_3,90,0.23403073571785454,0.43918292232350153,1.1300662122235308,1.032207687808518,42.32322059993306,1.1867564770695946,0.3394502288259052,426904.04768992437,0.5467201957977587,-0.1426292132292353
