purpose,config,fold,row_excel,date,group,tile,bairro,area,actual,predicted,k,effective,floor,n_train,discount,error,razao,erro_percentual_absoluto
CASA / RESIDÊNCIA,baseline,teste_reservado,165084,2026-09-02,1279335,-3341|-4933,cidade baixa,174.0,300000.0,929965.2652589028,5,5.0,800.0,16815,0.1487989829969808,,3.099884217529676,2.099884217529676
TERRENO,baseline,teste_reservado,166801,2026-09-16,2343606,-3335|-4924,sarandi,961.0,317000.0,982487.7675049946,12,11.98854341381178,200.0,97,0.0,,3.0993304968611817,2.0993304968611817
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,160991,2026-08-12,10491848,-3340|-4933,centro historic,14.19,10000.0,30851.228196074,7,5.799513957952,150.0,2612,0.2,,3.0851228196074,2.0851228196074
TERRENO,baseline,teste_reservado,163319,2026-08-24,10631674,-3338|-4923,jar leopoldina,330.0,120000.0,367578.337505282,12,11.773173912342637,200.0,97,0.0,,3.0631528125440166,2.0631528125440166
TERRENO,baseline,teste_reservado,163823,2026-08-27,100134863,-3340|-4922,mario quintana,154.0,55005.0,167377.34706282898,12,11.94890510540421,200.0,97,0.0,,3.042947860427761,2.042947860427761
CASA / RESIDÊNCIA,baseline,teste_reservado,162756,2026-08-21,914231,-3352|-4933,ipanema,224.0,320000.0,970374.4605461912,5,5.0,800.0,16815,0.1487989829969808,,3.0324201892068476,2.0324201892068476
CASA / RESIDÊNCIA,baseline,teste_reservado,164545,2026-09-01,1181173,-3341|-4929,petropolis,145.0,245000.0,732841.5196099197,5,5.0,800.0,16815,0.1487989829969808,,2.991189875958856,1.991189875958856
APARTAMENTO,baseline,teste_reservado,167255,2026-09-21,9911561,-3340|-4930,bela vista,289.44,620000.0,1851834.686387553,12,11.992686076446132,1200.0,96700,0.2,,2.986830139334763,1.9868301393347632
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161838,2026-08-13,9204903,-3344|-4932,medianeira,251.26,445000.0,1316511.2411915846,7,6.716415542261549,200.0,17117,0.0374643698062107,,2.9584522273968195,1.9584522273968195
CASA / RESIDÊNCIA,baseline,teste_reservado,161642,2026-08-13,10073736,-3358|-4928,belem novo,275.0,500000.0,1478651.1344765865,5,5.0,800.0,16815,0.1487989829969808,,2.957302268953173,1.957302268953173
SALA COMERCIAL,baseline,teste_reservado,160301,2026-08-06,9284583,-3343|-4934,menino deus,43.67,86783.39,253655.43647149537,16,15.662226482865206,900.0,7886,0.2,,2.9228569714952983,1.9228569714952983
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,167104,2026-09-18,100147968,-3337|-4929,sao joao,10.58,15000.0,43699.309275125896,30,4.000000165351272,200.0,17117,0.0374643698062107,,2.913287285008393,1.9132872850083928
CASA / RESIDÊNCIA,baseline,teste_reservado,166952,2026-09-17,1221159,-3338|-4929,passo da areia,68.0,90000.0,260605.8906967164,5,5.0,800.0,16815,0.1487989829969808,,2.8956210077412936,1.8956210077412936
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,161490,2026-08-07,8575959,-3341|-4934,menino deus,12.0,11123.0,32000.37787556429,7,5.817183360520193,150.0,2612,0.2,,2.876955666237911,1.8769556662379112
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,162390,2026-08-18,9404236,-3343|-4934,praia de belas,10.58,20000.0,57523.84027701728,30,3.698353181751322,200.0,17117,0.0374643698062107,,2.876192013850864,1.876192013850864
TERRENO,baseline,teste_reservado,163955,2026-08-28,10548343,-3348|-4932,vila nova,276.0,200000.0,572936.8039922662,12,11.979920802073742,200.0,97,0.0,,2.864684019961331,1.8646840199613308
TERRENO,baseline,teste_reservado,167060,2026-09-15,9589163,-3339|-4923,jar leopoldina,300.0,120000.0,343717.1307818694,12,11.79474939004992,200.0,97,0.0,,2.8643094231822452,1.8643094231822452
SALA COMERCIAL,baseline,teste_reservado,166369,2026-09-14,8304149,-3338|-4932,floresta,27.72,35000.0,100241.51061253232,20,9.406780813559717,900.0,7886,0.2,,2.8640431603580665,1.8640431603580665
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,159991,2026-08-05,5878136,-3341|-4927,vila jardim,72.31,73181.44,209105.4067164932,13,5.242310009989865,200.0,17117,0.0374643698062107,,2.8573557273059014,1.8573557273059014
SALA COMERCIAL,baseline,teste_reservado,160784,2026-08-11,100115649,-3339|-4932,moinhos vento,101.04,223060.15,637224.1011774052,16,15.8690364000066,900.0,7886,0.2,,2.8567366299063512,1.8567366299063512
COBERTURA,baseline,teste_reservado,162614,2026-08-20,23981,-3341|-4933,cidade baixa,130.45,195000.0,552934.5216875051,12,11.920042663751737,900.0,1688,0.2,,2.835561649679513,1.835561649679513
APARTAMENTO,baseline,teste_reservado,162098,2026-08-17,6170153,-3347|-4936,tristeza,63.61,90000.0,254495.68813166,12,11.919294598721848,1200.0,96700,0.2,,2.8277298681295555,1.8277298681295555
TERRENO,baseline,teste_reservado,162075,2026-08-12,10754407,-3353|-4931,aberta dos morr,174.0,87500.0,246417.9069430036,12,11.95229029823241,200.0,97,0.0,,2.816204650777184,1.816204650777184
TERRENO,baseline,teste_reservado,163046,2026-08-24,748137,-3337|-4930,sao joao,352.0,430000.0,1210105.1926504828,12,11.577419849004787,200.0,97,0.0,,2.814198122442983,1.814198122442983
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161518,2026-08-13,10245332,-3340|-4930,bela vista,12.49,20000.0,56148.552332704974,7,5.042392683011605,200.0,17117,0.0374643698062107,,2.8074276166352488,1.8074276166352488
